Data ;Jogo 1;Jogo 2;Jogo 3;Jogo 4;Jogo 5;Jogo 6;Jogo 7;Jogo 8;Jogo 9;Jogo 10;Jogo 11;Jogo 12;Jogo 13;Jogo 14
09/02/2015;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2
18/02/2015;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2
23/02/2015;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1
02/03/2015;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio
09/03/2015;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio
16/03/2015;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio
23/03/2015;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
30/03/2015;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio
06/04/2015;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio
13/04/2015;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1
20/04/2015;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2
27/04/2015;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1
04/05/2015;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1
11/05/2015;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio
18/05/2015;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
25/05/2015;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio
01/06/2015;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1
08/06/2015;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1
15/06/2015;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 2
22/06/2015;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
29/06/2015;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1
06/07/2015;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2
13/07/2015;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
20/07/2015;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
27/07/2015;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio
03/08/2015;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2
10/08/2015;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
17/08/2015;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna do meio
24/08/2015;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
31/08/2015;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2
08/09/2015;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2
14/09/2015;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1
21/09/2015;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
28/09/2015;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2
05/10/2015;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1
14/10/2015;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2
19/10/2015;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio
26/10/2015;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1
03/11/2015;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
09/11/2015;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1
18/11/2015;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1
23/11/2015;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio
30/11/2015;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio
07/12/2015;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
04/01/2016;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1
08/01/2016;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2
25/01/2016;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2
01/02/2016;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
11/02/2016;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna do meio
15/02/2016;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
22/02/2016;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
29/02/2016;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio
07/03/2016;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1
14/03/2016;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2
21/03/2016;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1
28/03/2016;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1
04/04/2016;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio
11/04/2016;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1
18/04/2016;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2
25/04/2016;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
02/05/2016;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1
09/05/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1
16/05/2016;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
23/05/2016;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
30/05/2016;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2
06/06/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
13/06/2016;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2
20/06/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1
27/06/2016;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
04/07/2016;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1
11/07/2016;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
18/07/2016;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
25/07/2016;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna do meio
01/08/2016;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1
08/08/2016;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio
15/08/2016;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2
22/08/2016;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio
29/08/2016;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio
05/09/2016;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
12/09/2016;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
19/09/2016;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1
26/09/2016;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1
03/10/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1
10/10/2016;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2
17/10/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2
24/10/2016;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1
31/10/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio
07/11/2016;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1
14/11/2016;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1
21/11/2016;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio
28/11/2016;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
05/12/2016;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2
09/01/2017;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 2
16/01/2017;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2
23/01/2017;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio
30/01/2017;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio
06/02/2017;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2
13/02/2017;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
21/02/2017;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio
02/03/2017;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
06/03/2017;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1
13/03/2017;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1
20/03/2017;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio
27/03/2017;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio
03/04/2017;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1
11/04/2017;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1
18/04/2017;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2
24/04/2017;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
02/05/2017;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2
08/05/2017;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio
15/05/2017;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
22/05/2017;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2
29/05/2017;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio
05/06/2017;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1
12/06/2017;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 2
19/06/2017;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2
26/06/2017;Coluna 2;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1
03/07/2017;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio
10/07/2017;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio
17/07/2017;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2
24/07/2017;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna do meio
31/07/2017;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1
08/08/2017;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio
14/08/2017;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
21/08/2017;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio
28/08/2017;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2
04/09/2017;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1
11/09/2017;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2
