Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time Coraá∆o;;;;;;;;;;;;;;;;;
05/03/2011;4;23;65;68;70;71;73;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
09/03/2011;24;27;33;34;41;42;79;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
12/03/2011;7;14;27;28;38;67;71;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
16/03/2011;13;14;27;31;45;68;75;S«O CAETANO/SP;;;;;;;;;;;;;;;;;
19/03/2011;8;24;33;45;61;63;72;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
23/03/2011;8;13;21;40;52;53;62;NACIONAL/AM;;;;;;;;;;;;;;;;;
26/03/2011;5;11;24;41;67;70;78;GR“MIO/RS;;;;;;;;;;;;;;;;;
30/03/2011;4;11;16;24;55;66;79;JUVENTUDE/RS;;;;;;;;;;;;;;;;;
02/04/2011;8;30;37;45;54;64;69;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
06/04/2011;16;17;46;47;56;57;60;REMO/PA;;;;;;;;;;;;;;;;;
09/04/2011;9;23;27;31;36;75;79;BRASILIENSE/DF;;;;;;;;;;;;;;;;;
13/04/2011;3;27;30;37;40;50;78;ATLêTICO/MG;;;;;;;;;;;;;;;;;
16/04/2011;25;41;60;65;67;73;76;AMERICANO/RJ;;;;;;;;;;;;;;;;;
20/04/2011;8;19;61;65;67;73;77;AMêRICA/RJ;;;;;;;;;;;;;;;;;
23/04/2011;21;25;36;44;45;67;78;VASCO DA GAMA/RJ;;;;;;;;;;;;;;;;;
27/04/2011;18;21;29;33;35;41;66;GOIµS/GO;;;;;;;;;;;;;;;;;
30/04/2011;2;11;30;36;66;71;77;BRAGANTINO/SP;;;;;;;;;;;;;;;;;
04/05/2011;19;39;55;57;59;61;67;P.  DESPORTOS/SP;;;;;;;;;;;;;;;;;
07/05/2011;4;7;11;12;13;15;70;BOTAFOGO/PB;;;;;;;;;;;;;;;;;
11/05/2011;10;33;47;54;67;73;77;JOINVILLE/SC;;;;;;;;;;;;;;;;;
14/05/2011;17;26;38;51;52;60;61;VILLA NOVA/MG;;;;;;;;;;;;;;;;;
18/05/2011;5;23;26;32;36;39;56;FLAMENGO/RJ;;;;;;;;;;;;;;;;;
21/05/2011;13;19;22;35;43;49;51;NACIONAL/AM;;;;;;;;;;;;;;;;;
25/05/2011;6;12;14;23;28;35;52;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
28/05/2011;6;12;17;56;66;70;71;SANTO ANDRê/SP;;;;;;;;;;;;;;;;;
01/06/2011;1;4;17;42;48;50;78;GAMA/DF;;;;;;;;;;;;;;;;;
04/06/2011;4;9;15;41;55;57;65;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
08/06/2011;4;13;21;31;48;57;72;CORINTHIANS/SP;;;;;;;;;;;;;;;;;
11/06/2011;2;20;28;32;48;60;74;JUVENTUDE/RS;;;;;;;;;;;;;;;;;
15/06/2011;19;35;42;45;54;60;65;CRICIÈMA/SC;;;;;;;;;;;;;;;;;
18/06/2011;5;9;23;25;28;32;65;SERGIPE/SE;;;;;;;;;;;;;;;;;
22/06/2011;6;34;38;44;59;74;79;TREZE/PB;;;;;;;;;;;;;;;;;
25/06/2011;2;3;7;11;56;61;65;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
29/06/2011;5;10;18;55;56;59;72;NACIONAL/AM;;;;;;;;;;;;;;;;;
02/07/2011;14;16;17;20;21;28;74;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
06/07/2011;2;26;30;37;45;47;61;BOTAFOGO/RJ;;;;;;;;;;;;;;;;;
09/07/2011;16;19;29;39;45;67;71;RORAIMA/RR;;;;;;;;;;;;;;;;;
13/07/2011;3;27;34;44;62;63;75;AMêRICA/RJ;;;;;;;;;;;;;;;;;
16/07/2011;13;25;34;39;55;59;76;AMêRICA/RJ;;;;;;;;;;;;;;;;;
20/07/2011;10;11;24;26;36;47;51;S. PAULO/SP;;;;;;;;;;;;;;;;;
23/07/2011;4;19;25;35;54;63;69;RIVER/PI;;;;;;;;;;;;;;;;;
27/07/2011;17;18;30;41;50;55;62;YPIRANGA/AP;;;;;;;;;;;;;;;;;
30/07/2011;21;28;60;63;64;65;75;XV PIRACICABA/SP;;;;;;;;;;;;;;;;;
03/08/2011;11;16;32;41;56;68;78;CEARµ/CE;;;;;;;;;;;;;;;;;
06/08/2011;2;8;22;23;30;35;62;CRICIÈMA/SC;;;;;;;;;;;;;;;;;
10/08/2011;11;36;43;48;60;66;72;SAMPAIO CORR“A/MA;;;;;;;;;;;;;;;;;
13/08/2011;6;21;29;35;39;62;69;DESPORTIVA/ES;;;;;;;;;;;;;;;;;
17/08/2011;10;11;29;34;40;47;78;RIVER/PI;;;;;;;;;;;;;;;;;
20/08/2011;25;26;28;30;63;70;76;OPERARIO/MS;;;;;;;;;;;;;;;;;
24/08/2011;5;8;15;37;43;58;74;PONTE PRETA/SP;;;;;;;;;;;;;;;;;
27/08/2011;19;23;29;41;51;54;63;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
31/08/2011;4;10;16;18;25;30;55;S«O PAULO/SP;;;;;;;;;;;;;;;;;
03/09/2011;6;23;41;46;48;54;73;CRUZEIRO/MG;;;;;;;;;;;;;;;;;
08/09/2011;1;15;40;47;49;52;77;CSA/AL;;;;;;;;;;;;;;;;;
10/09/2011;10;32;50;53;70;73;76;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
14/09/2011;25;34;39;41;69;77;79;TUNA LUSO/PA;;;;;;;;;;;;;;;;;
17/09/2011;2;13;35;51;55;63;75;JUVENTUS/SP;;;;;;;;;;;;;;;;;
21/09/2011;11;13;34;39;61;62;66;GR“MIO/RS;;;;;;;;;;;;;;;;;
24/09/2011;14;16;23;43;51;72;80;AMêRICA/RJ;;;;;;;;;;;;;;;;;
28/09/2011;9;16;22;27;31;61;72;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
01/10/2011;14;20;22;37;49;60;78;OLARIA/RJ;;;;;;;;;;;;;;;;;
05/10/2011;1;16;39;59;65;75;80;S«O PAULO/SP;;;;;;;;;;;;;;;;;
08/10/2011;1;13;16;33;35;43;65;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
13/10/2011;17;35;39;41;48;67;73;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
15/10/2011;19;28;31;45;50;66;71;AMERICANO/RJ;;;;;;;;;;;;;;;;;
19/10/2011;3;10;14;26;31;51;75;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
22/10/2011;13;31;44;46;57;67;73;VASCO DA GAMA/RJ;;;;;;;;;;;;;;;;;
26/10/2011;13;41;47;48;58;61;80;BRAGANTINO/SP;;;;;;;;;;;;;;;;;
29/10/2011;19;25;29;55;56;60;74;RORAIMA/RR;;;;;;;;;;;;;;;;;
03/11/2011;13;15;30;47;54;73;75;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
05/11/2011;2;3;14;29;36;42;62;FLAMENGO/RJ;;;;;;;;;;;;;;;;;
09/11/2011;1;4;21;24;32;49;74;SANTOS/SP;;;;;;;;;;;;;;;;;
12/11/2011;2;24;50;58;61;72;80;BRASILIENSE/DF;;;;;;;;;;;;;;;;;
19/11/2011;6;7;26;58;67;78;79;ATLêTICO/GO;;;;;;;;;;;;;;;;;
23/11/2011;15;34;36;37;44;56;78;AMERICANO/RJ;;;;;;;;;;;;;;;;;
30/11/2011;5;15;16;32;59;61;71;IPATINGA/MG;;;;;;;;;;;;;;;;;
