Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
07/06/2025;5;15;33;34;39;44;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2025;4;16;20;25;44;47;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
14/06/2025;3;8;16;34;41;46;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2025;1;3;7;18;24;43;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
21/06/2025;17;21;25;28;31;41;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2025;5;24;32;35;46;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
28/06/2025;21;22;26;37;39;40;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
02/07/2025;23;25;37;41;43;50;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
05/07/2025;5;16;27;29;31;38;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
09/07/2025;2;9;12;24;44;45;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
12/07/2025;21;25;30;33;41;47;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2025;1;4;5;16;36;41;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
19/07/2025;19;20;23;24;26;35;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
23/07/2025;15;18;20;23;27;31;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
26/07/2025;22;27;32;33;35;41;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
30/07/2025;5;7;18;19;32;48;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
02/08/2025;5;8;10;30;37;38;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2025;1;2;22;24;25;33;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
09/08/2025;4;17;19;22;25;36;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2025;12;16;28;35;39;46;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
16/08/2025;7;10;35;42;43;47;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2025;4;18;36;38;45;49;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
23/08/2025;1;3;4;7;27;32;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2025;18;22;25;29;37;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
30/08/2025;3;5;18;19;29;43;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2025;10;12;17;21;41;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
06/09/2025;8;13;17;22;45;47;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2025;4;5;6;30;38;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
13/09/2025;7;10;29;34;39;40;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2025;15;19;20;30;35;45;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
